state,fips,district,Income (In 2011 Inflation-Adjusted Dollars):Median Household Income,Income (In 2011 Inflation-Adjusted Dollars):Median Household IncomeMOE,Housing Occupancy:Occupied Housing Units,Housing Occupancy:Occupied Housing UnitsMOE,Housing Occupancy:Total Housing Units,Housing Occupancy:Total Housing UnitsMOE,Housing Occupancy:Vacant Housing Units,Housing Occupancy:Vacant Housing UnitsMOE,Age:10 to 14 years,Age:10 to 14 yearsMOE,Age:15 to 19 years,Age:15 to 19 yearsMOE,Age:20 to 24 years,Age:20 to 24 yearsMOE,Age:25 to 34 years,Age:25 to 34 yearsMOE,Age:35 to 44 years,Age:35 to 44 yearsMOE,Age:45 to 54 years,Age:45 to 54 yearsMOE,Age:5 to 9 years,Age:5 to 9 yearsMOE,Age:55 to 59 years,Age:55 to 59 yearsMOE,Age:60 to 64 years,Age:60 to 64 yearsMOE,Age:65 years and over,Age:65 years and overMOE,Age:Total Population,Age:Total PopulationMOE,Age:Under 5 years,Age:Under 5 yearsMOE,Veteran Status:Civilian Population 18 Years and Over,Veteran Status:Civilian Population 18 Years and OverMOE,Veteran Status:Civilian Veterans,Veteran Status:Civilian VeteransMOE,Sex:Female,Sex:FemaleMOE,Sex:Male,Sex:MaleMOE,Sex:Total Population,Sex:Total PopulationMOE,Educational Attainment:9th to 12th Grade No Diploma,Educational Attainment:9th to 12th Grade No DiplomaMOE,Educational Attainment:Associate's Degree,Educational Attainment:Associate's DegreeMOE,Educational Attainment:Bachelor's Degree,Educational Attainment:Bachelor's DegreeMOE,Educational Attainment:Graduate or Professional Degree,Educational Attainment:Graduate or Professional DegreeMOE,Educational Attainment:High School Graduate (Includes Equivalency),Educational Attainment:High School Graduate (Includes Equivalency)MOE,Educational Attainment:Less than 9th Grade,Educational Attainment:Less than 9th GradeMOE,Educational Attainment:Percent Bachelor's Degree or Higher,Educational Attainment:Percent Bachelor's Degree or HigherMOE,Educational Attainment:Percent High School Graduate or Higher,Educational Attainment:Percent High School Graduate or HigherMOE,Educational Attainment:Population 25 Years and Over,Educational Attainment:Population 25 Years and OverMOE,Educational Attainment:Some College No Degree,Educational Attainment:Some College No DegreeMOE,Race:American Indian and Alaska Native,Race:American Indian and Alaska NativeMOE,Race:Asian,Race:AsianMOE,Race:Black or African American,Race:Black or African AmericanMOE,Race:Native Hawaiian and Other Pacific Islander,Race:Native Hawaiian and Other Pacific IslanderMOE,Race:One Race,Race:One RaceMOE,Race:Some Other Race,Race:Some Other RaceMOE,Race:Total Population,Race:Total PopulationMOE,Race:Two or More Races,Race:Two or More RacesMOE,Race:White,Race:WhiteMOE,Hispanic or Latino Origin:Hispanic or Latino (of any race),Hispanic or Latino Origin:Hispanic or Latino (of any race)MOE,Hispanic or Latino Origin:Not Hispanic or Latino,Hispanic or Latino Origin:Not Hispanic or LatinoMOE,Hispanic or Latino Origin:Total Population,Hispanic or Latino Origin:Total PopulationMOE,Housing Tenure:Occupied Housing Units,Housing Tenure:Occupied Housing UnitsMOE,Housing Tenure:Owner-Occupied Housing Units,Housing Tenure:Owner-Occupied Housing UnitsMOE,Housing Tenure:Renter-Occupied Housing Units,Housing Tenure:Renter-Occupied Housing UnitsMOE,Population:Total Population,Population:Total PopulationMOE
Florida,12,24,36062,1539,221790,6457,271731,6291,49941,4185,42910,4103,47410,3387,51853,3969,111752,6020,96580,6964,92771,4930,42822,4219,44661,5029,37568,3353,76126,4401,693086,16907,48633,4455,531861,14588,20465,2501,363858,11072,329228,10732,693086,16907,50963,4338,37147,4051,55620,5539,32367,4184,145864,8915,50912,5450,19.2,1.5,77.8,1.3,459458,12367,86585,5961,898,866,13258,3496,389244,14581,153,252,678700,16920,14068,4183,693086,16907,14386,3508,261079,12591,204591,12352,488495,15003,693086,16907,221790,6457,117212,5287,104578,5364,693086,16907
Florida,12,25,46869,2133,215119,6674,257039,7310,41920,4991,44071,4489,49703,3791,55419,4418,92003,6905,107871,6211,105646,7626,40496,4446,41747,4893,35868,4347,103677,5877,723113,20853,46612,3711,559329,16329,19759,3202,372773,12884,350340,12472,723113,20853,39736,4352,39716,4103,80828,6796,42259,5667,153919,9718,55699,6083,25.3,1.7,80.4,1.5,486812,13790,74655,6173,1151,1202,15173,3479,54880,9891,46,84,712393,21132,24913,6793,723113,20853,10720,4291,616230,20184,508787,18005,214326,14991,723113,20853,215119,6674,144682,5393,70437,4329,723113,20853
Florida,12,26,48899,2618,215211,5331,261584,5140,46373,4043,41423,3726,54772,5172,56702,5706,92312,7233,99092,6732,116133,6639,41539,4285,44735,3850,41401,4017,104135,5731,728285,19877,36041,4933,575797,15401,28043,3159,371619,11834,356666,12052,728285,19877,50580,5221,47608,4934,90372,6951,40226,4540,132628,9230,50220,5468,26.2,1.5,79.8,1.4,497808,13481,86174,6517,2256,1687,10378,2544,71597,9648,498,805,720544,20193,11881,4223,728285,19877,7741,2608,623934,19427,505902,17830,222383,13213,728285,19877,215211,5331,148528,4801,66683,4463,728285,19877
Florida,12,27,38679,1605,238875,6919,277172,7074,38297,4055,45140,4159,39406,4844,47216,4639,91972,5923,105475,6414,106176,6366,42546,5142,40345,3348,37461,3524,116696,6362,712083,20487,39650,4889,561853,15928,18624,2424,359537,11150,352546,13521,712083,20487,56290,5607,38277,4262,82332,5758,54599,4793,132372,7204,64893,5063,27.5,1.3,75.7,1.4,498125,13654,69362,6159,1109,933,12258,3037,58970,9591,0,238,703026,20375,15986,4530,712083,20487,9057,2360,614703,18274,517663,15546,194420,12227,712083,20487,238875,6919,122287,6110,116588,6382,712083,20487
Georgia,13,01,43077,1707,258214,4598,310575,2418,52361,4140,48965,3566,45902,2819,60059,3003,100815,3073,90752,3567,91027,2948,48557,3964,38190,3016,43169,2875,85396,1920,703020,5635,50188,1850,513629,4653,73373,4437,357391,3979,345629,3636,703020,5635,45453,4379,28549,3139,68121,4900,34549,2911,140705,5680,21479,2769,22.8,1.3,85.1,1.2,449349,3914,110493,5893,1664,820,13340,1879,203679,3991,443,358,691702,6207,14113,4099,703020,5635,11318,2797,458463,6626,45222,2630,657798,5840,703020,5635,258214,4598,164546,4348,93668,4917,703020,5635
Georgia,13,02,32049,1038,249069,4390,300679,3419,51610,3578,45674,2826,57835,2582,56020,2646,91186,3265,85507,2582,94530,2889,49262,3377,44543,2745,38157,2563,87292,2101,699490,6181,49484,2292,512348,5189,52309,2917,356757,4220,342733,4370,699490,6181,66911,4190,27407,2714,37676,2816,25229,2340,153670,5655,30918,3048,14.3,0.7,77.8,1.1,441215,4415,99404,5760,875,423,8398,2158,351481,5725,949,709,684652,6746,14393,2344,699490,6181,14838,2642,308556,5499,34370,1860,665120,6033,699490,6181,249069,4390,143339,4279,105730,3948,699490,6181
Georgia,13,03,50155,1635,246847,4514,278921,3014,32074,3839,53465,3641,51620,3934,43531,3198,79764,3934,92971,4297,103439,3619,48294,2841,46055,3527,39412,3481,84892,2237,687745,9265,44302,2114,510456,6143,55520,3783,353602,6303,334143,5862,687745,9265,46357,4148,30303,3211,70865,5126,37454,3839,142855,6996,24215,2962,24.3,1.4,84.2,1.2,446533,6302,94484,5363,887,598,10435,1877,162091,6820,0,225,673560,9028,6436,2439,687745,9265,14185,2800,493711,7686,38842,3287,648903,8743,687745,9265,246847,4514,171057,5143,75790,4013,687745,9265
Georgia,13,04,47414,1756,241904,6877,280285,6110,38381,4579,53828,4236,50926,3505,50034,4271,103948,6588,107581,6165,102154,4955,53960,4758,43005,3176,38252,3892,61864,3352,720228,17845,54676,4073,526666,12848,44152,3698,378029,10484,342199,10473,720228,17845,39219,5009,39857,4507,85474,6862,46249,4727,114723,7375,26542,4785,28.8,1.5,85.6,1.3,456804,11923,104740,6717,627,444,31517,5725,410111,12983,1339,2202,705168,18008,38500,9114,720228,17845,15060,4838,223074,13629,75280,8648,644948,16360,720228,17845,241904,6877,155620,5931,86284,5254,720228,17845
Georgia,13,05,40708,1286,273321,6887,340752,7066,67431,4845,38443,4635,46627,3951,67980,4560,135167,5639,110692,6054,86684,4799,38308,3555,35843,3071,33670,2836,63529,3746,708928,14614,51985,4011,558718,11224,34107,3127,362907,9621,346021,8942,708928,14614,40858,3666,23456,2779,110866,6086,66721,4261,111346,6633,25606,4563,38.1,1.5,85.7,1.1,465585,9996,86732,6418,1355,937,26506,3553,413449,14306,240,389,695071,15082,16596,5731,708928,14614,13857,3686,236925,12133,64944,8926,643984,13917,708928,14614,273321,6887,128048,5626,145273,6261,708928,14614
Georgia,13,06,72832,4326,269180,6663,291289,7569,22109,3421,48154,4375,43134,3341,37506,3952,99163,5635,111431,5992,106195,4733,53908,4003,46725,3758,40930,3312,68528,3512,699103,13001,43429,4029,525410,9917,36968,3275,347695,8237,351408,8100,699103,13001,13850,2878,24989,3545,174098,8690,91960,6030,68579,6124,19166,4051,56.3,1.8,93,1,472972,9621,80330,5668,1691,1447,65138,5751,93457,8664,1464,1040,685136,12906,16955,4401,699103,13001,13967,2973,506431,12059,82207,7846,616896,12205,699103,13001,269180,6663,170794,5748,98386,4916,699103,13001
Georgia,13,07,59843,3551,220434,6520,251725,5564,31291,5683,52126,5255,49717,4325,42513,4082,92403,5776,105514,6342,105729,4622,60331,5419,39109,4048,30352,4402,55967,3715,687296,20034,53535,4176,489028,13595,31153,4117,344844,11118,342452,12341,687296,20034,29873,4833,32057,4828,114226,9420,47875,5858,98176,8740,24998,4951,37.8,2.2,87.2,1.4,429074,12207,81869,7299,3798,3627,80784,6285,131673,11274,163,224,668452,20153,56263,11913,687296,20034,18844,4882,395771,16911,120701,12056,566595,16587,687296,20034,220434,6520,148275,6251,72159,5955,687296,20034
Georgia,13,08,37232,1308,252063,5243,296195,3143,44132,4751,49132,3442,55680,3908,49501,3379,87897,4201,93263,3505,93151,3332,46280,3527,42128,2761,39376,2949,90260,2671,693640,7167,46972,2466,519059,5636,59676,3651,354234,5018,339406,5111,693640,7167,54701,4313,32619,3243,50542,4025,34155,3888,156142,6803,27589,2684,19,1.3,81.6,1.1,446075,5166,90327,5241,446,318,8753,1460,214726,5924,115,157,681318,7614,20141,3241,693640,7167,12322,2619,437137,7108,39883,2448,653757,7382,693640,7167,252063,5243,163622,4255,88441,4815,693640,7167
Georgia,13,09,41786,1340,239703,4583,321736,3317,82033,5365,51843,3581,52731,3917,41629,3557,81210,4189,97853,4395,101379,4424,52077,4022,41345,2400,42436,3153,107514,3055,714378,10263,44361,2669,535557,6934,50610,3385,359723,6297,354655,6151,714378,10263,56369,6435,29360,3714,58475,4490,30939,3024,163725,8569,40272,4158,19,1.2,79.5,1.5,471737,6713,92597,6378,1710,1054,7093,1416,57356,4233,209,308,707548,10704,18842,6495,714378,10263,6830,2297,622338,10636,87563,4790,626815,10359,714378,10263,239703,4583,178005,4999,61698,4458,714378,10263
Georgia,13,10,45314,2057,243380,6224,290382,5273,47002,3984,53166,6267,59084,4684,56035,3389,80057,4241,99074,6192,100691,5779,46228,3991,43701,3029,39580,3721,80356,3269,694613,15976,36641,2816,526323,10762,44443,4253,352343,9911,342270,9709,694613,15976,49550,5326,28325,3428,60036,4838,42181,3739,146698,8816,23833,3255,23,1.3,83.5,1.2,443459,10459,92836,7750,2079,1190,14943,3084,170209,9057,46,62,678179,16495,10807,7311,694613,15976,16434,4185,480095,14963,35784,9226,658829,15259,694613,15976,243380,6224,169842,5446,73538,4749,694613,15976
Georgia,13,11,55813,1733,255908,5479,285729,4583,29821,3842,54070,4367,46342,3562,45954,3170,102490,6000,108416,5142,104390,3688,47399,4882,37539,3005,32416,2598,65364,2720,689738,14970,45358,2948,516202,9921,44594,5024,352276,9142,337462,8786,689738,14970,29255,4228,29588,3289,113892,6021,56436,4931,106195,6905,17579,2924,37.8,1.3,89.6,1.1,450615,9427,97670,6313,3689,1052,19062,3507,108745,9038,36,68,676373,14817,24198,6374,689738,14970,13365,2899,520643,11430,76507,8305,613231,14090,689738,14970,255908,5479,162855,5203,93053,5604,689738,14970
Georgia,13,12,39950,1434,249796,4963,293720,3196,43924,3779,51287,2892,53954,3056,59651,2901,97057,3632,90054,3000,93783,2709,45584,3135,44101,3023,36708,2856,82327,2145,704537,5788,50031,1877,522208,5073,57883,3866,356811,4083,347726,4781,704537,5788,52075,4192,32763,3482,54048,4657,31760,2456,160571,6653,27062,2844,19.3,1.1,82.2,1.1,444030,4270,85751,4310,1374,693,11487,1773,247459,6277,476,429,693334,6075,16460,3573,704537,5788,11203,2561,416078,6503,37946,3071,666591,6299,704537,5788,249796,4963,159786,4371,90010,4179,704537,5788
Georgia,13,13,47004,1460,248512,5039,281294,5143,32782,4000,58152,4923,56417,4466,50351,4306,91484,6508,107544,6643,108245,5398,54811,5903,41952,3699,35143,3588,58237,3445,718096,17224,55760,3790,511089,12059,53909,4860,377883,10788,340213,9655,718096,17224,38826,5112,31519,3843,77195,6350,43481,4234,126354,6840,22808,4108,27.3,1.5,86.1,1.3,442605,11031,102422,7777,1903,908,20855,4251,389380,14740,58,121,701795,17883,18935,7795,718096,17224,16301,4467,270664,13044,70566,10257,647530,16536,718096,17224,248512,5039,167245,5343,81267,5676,718096,17224
Georgia,13,14,42700,1986,246211,4120,279836,953,33625,4141,48550,3906,52870,3102,43699,2548,83852,3012,102430,2663,98321,2072,53066,3564,39772,2754,40164,2407,84369,1692,694398,2350,47305,1682,513083,2202,47894,3691,351719,3665,342679,3568,694398,2350,57087,4312,29162,3753,44134,4491,30328,3633,159402,7071,36881,3537,16.6,1.4,79.1,1.3,448908,2572,91914,5265,2882,1488,4530,1057,68111,2927,121,195,682688,3748,14969,3957,694398,2350,11710,2743,592075,4855,70252,1083,624146,2654,694398,2350,246211,4120,173669,4464,72542,4662,694398,2350
Hawaii,15,01,65602,2270,229582,4340,251523,3115,21941,3250,40049,2754,39338,2066,50033,2912,100585,3528,91681,2753,92517,2705,37598,2232,43533,2424,41436,2444,111202,2653,690677,10530,42705,2097,528410,8496,55343,3131,346736,5438,343941,6413,690677,10530,23862,2276,49555,3284,103124,4428,51575,3227,126666,5378,24040,2438,32.2,1.1,90,0.6,480954,7291,102132,5294,1001,454,352431,9438,16444,2138,52624,5721,549218,11640,5939,1960,690677,10530,141459,8170,120779,5845,53832,2693,636845,9859,690677,10530,229582,4340,124174,4582,105408,4047,690677,10530
Hawaii,15,02,57492,2668,218981,5013,270791,3149,51810,4221,43745,2731,43951,2480,48519,3424,92040,3725,84342,2939,96234,2794,44045,2744,48039,3261,45636,3570,92267,2714,684133,10530,45315,2137,505703,8039,53875,4125,339474,5692,344659,6434,684133,10530,23464,2355,44645,3471,77107,4426,41468,2976,140797,5856,17022,2640,25.9,1.2,91.2,0.8,458558,7400,114055,5289,2941,1109,171393,8704,9837,1934,75463,6739,494040,13343,11833,2752,684133,10530,190093,11375,222573,5867,72587,2693,611546,9858,684133,10530,218981,5013,130526,3774,88455,4359,684133,10530
Idaho,16,01,45103,1692,291898,4190,341938,3187,50040,3984,59391,3704,54191,2730,48386,3224,99024,2850,99444,3341,104971,2741,62568,3632,53517,3495,45738,3007,108972,2552,791876,5442,55674,1741,580757,4674,65111,4062,393837,3969,398039,4284,791876,5442,36944,3302,44202,4245,89927,5505,34572,4022,146968,6542,21144,2186,24.3,1.4,88.6,0.8,511666,4613,137909,6184,11544,2012,9687,2423,2965,855,873,611,773398,5662,9941,3242,791876,5442,18478,2561,738388,6140,77502,3169,714374,5617,791876,5442,291898,4190,209805,5011,82093,4909,791876,5442
Idaho,16,02,42086,1277,288295,4909,332456,3162,44161,3933,59885,3074,60961,2747,62414,3434,107352,3776,95656,3469,99787,3153,60243,3028,48376,2945,40309,2517,95314,2703,793109,5442,62812,1710,574311,4924,56271,3085,396234,3942,396875,4342,793109,5442,31747,2612,44747,3490,84719,4395,42877,3695,128065,5766,23864,2473,26.2,1.1,88.6,0.6,486794,5000,130775,5196,8967,1624,11226,2340,5427,1430,414,342,772127,6030,18997,4177,793109,5442,20982,3426,727096,6488,104238,3291,688871,5680,793109,5442,288295,4909,189011,4328,99284,4234,793109,5442
Illinois,17,01,46458,1669,254693,6113,295248,6852,40555,3426,48055,3877,57244,4677,51440,3970,89621,6883,90387,5842,102817,5277,44496,4163,47281,3938,38996,3229,95178,5159,711982,19805,46467,4222,540579,13762,37329,3003,381190,12410,330792,9634,711982,19805,41065,3876,35551,3443,73237,5032,45465,3567,128205,5984,20572,3158,25.6,1.2,86.7,1,464280,11513,120185,5528,1837,1069,14420,3601,365488,14282,48,85,702359,19431,31432,8002,711982,19805,9623,2083,289134,11783,69526,9295,642456,17654,711982,19805,254693,6113,156296,4572,98397,4934,711982,19805
Illinois,17,02,45572,1286,256882,5621,300810,5491,43928,3749,59755,4553,56365,3375,44534,3394,86594,5394,89372,4707,104539,4892,48967,3450,47186,2727,40047,2975,94537,4314,718507,14966,46611,3599,527812,10538,47203,3721,378549,10485,339958,7976,718507,14966,40707,3501,32575,3323,58020,4132,40176,3820,140350,6312,25882,3098,21.2,1.3,85.6,1,462275,9330,124565,6953,1044,473,5851,1542,399040,13934,46,75,701385,14246,31926,6254,718507,14966,17122,3882,263478,10016,95396,9520,623111,15538,718507,14966,256882,5621,166310,4957,90572,4200,718507,14966
Illinois,17,03,56579,1746,241423,5105,261528,5300,20105,3069,52970,4577,48592,4138,46699,4555,96498,5936,94709,6115,103606,5235,49699,4181,47352,4256,37832,3973,89942,4892,713092,14877,45193,4232,534625,11239,32903,2795,359708,9169,353384,8833,713092,14877,37268,3839,34311,3282,75256,4964,41935,3445,144126,6359,39839,4158,24.9,1.2,83.6,1.2,469939,8857,97204,5391,2245,1268,23576,4879,27186,4641,0,189,698866,15266,83661,11413,713092,14877,14226,3853,562198,12782,209417,13451,503675,12164,713092,14877,241423,5105,182847,5132,58576,4225,713092,14877
Illinois,17,04,39744,1544,220555,4877,250681,5314,30126,2548,57438,4141,54936,3688,62514,3668,132191,6636,115042,5519,84454,4973,54198,3954,33774,3384,28586,2478,54294,3480,737025,17916,59598,4658,530978,12703,15230,1960,365430,8657,371595,11866,737025,17916,51839,4644,21002,2234,53277,4285,24476,2592,139530,6745,90325,6545,17.3,1.1,68.3,1.7,448341,10596,67892,3895,1275,622,17314,3361,28942,4298,96,100,718371,18179,243686,14167,737025,17916,18654,3173,427058,17674,529040,16817,207985,11414,737025,17916,220555,4877,100449,3215,120106,5060,737025,17916
Illinois,17,05,62632,2205,296383,6620,327028,6310,30645,4114,33481,3697,30116,3608,54094,4068,165626,8656,103912,4990,89246,5328,37262,3613,41310,3665,34256,3036,80618,4657,712292,19209,42371,3863,582223,14674,25227,2531,355775,9633,356517,11870,712292,19209,27444,3154,27595,3120,159613,8189,100373,6108,97823,5446,25616,3635,50.5,1.7,89.7,0.9,514968,12540,76504,5196,1734,1047,48962,6162,17297,3571,0,189,697377,19217,46969,8330,712292,19209,14915,2695,582415,15185,127493,11638,584799,16258,712292,19209,296383,6620,158947,4512,137436,5837,712292,19209
Illinois,17,06,85655,2731,255337,4802,270391,4963,15054,2953,52192,4092,54240,4000,37531,2789,76429,5650,90655,4377,128749,5487,50775,3762,47425,3288,44142,3360,90786,4836,712712,11933,39788,3802,531970,9530,34712,3171,365110,7625,347602,8093,712712,11933,16643,2334,35679,4570,145813,5876,91872,4693,84741,5591,11013,2284,49.7,1.4,94.2,0.7,478186,8696,92425,4890,621,490,56301,6965,19797,4352,27,41,698375,11483,15052,5330,712712,11933,14337,2960,606577,12268,56569,9206,656143,11757,712712,11933,255337,4802,203677,4145,51660,4048,712712,11933
Illinois,17,07,44535,2356,274826,5805,336357,7096,61531,4127,42641,3979,53228,4153,58323,4631,132107,6326,90810,4094,89544,4200,43991,3513,37141,3185,34810,3514,73670,4878,703012,17425,46747,3958,540243,12645,23657,2679,374632,10664,328380,9927,703012,17425,49159,3231,23249,2747,98103,6416,71867,4873,107784,5615,27304,3480,37.1,1.3,83.3,0.9,458082,10928,80616,3870,1237,700,36849,4107,383925,13563,224,373,691460,17475,44142,7953,703012,17425,11552,2511,225083,11569,92976,9321,610036,15819,703012,17425,274826,5805,110958,4235,163868,5322,703012,17425
Illinois,17,08,60073,1758,254508,4524,273386,5279,18878,3176,49207,4771,49534,3509,42517,4190,118571,7239,98609,4992,102461,5814,51783,4240,49580,4169,39761,3701,71549,4435,724644,12251,51072,4054,541852,10393,28546,2928,368235,7760,356409,8281,724644,12251,30303,3668,31750,3080,109715,6997,47006,3869,120485,6987,39514,4467,32.6,1.5,85.5,1.2,480531,9913,101758,5737,2264,1198,92037,9609,37086,5273,96,169,711226,12305,68318,10347,724644,12251,13418,3170,511425,13498,190230,13119,534414,15852,724644,12251,254508,4524,176253,4597,78255,3636,724644,12251
Illinois,17,09,59321,3420,289945,6140,317822,6914,27877,3711,38832,2962,42955,3677,43182,4845,99278,6603,96206,5076,107968,5433,35819,3580,50729,3849,44705,3497,113630,4966,715584,17307,42280,4713,573807,13796,29667,2488,363562,9327,352022,11041,715584,17307,24947,3230,27054,3106,148523,7087,108707,5477,88998,5607,26105,4269,50.2,1.6,90,0.9,512516,11922,88182,5041,1090,614,89433,8501,65319,6939,0,189,694906,17080,16809,4401,715584,17307,20678,3578,522255,13893,77102,8846,638482,16383,715584,17307,289945,6140,180545,5456,109400,5121,715584,17307
Illinois,17,10,65864,2298,241721,3242,263073,3591,21352,2354,52156,3111,55320,2241,43011,2645,82431,3678,95852,3369,106445,3632,52998,3466,45168,2802,41724,2684,84591,2775,705564,8022,45868,2254,509947,6542,32529,2883,354982,5210,350582,5359,705564,8022,27091,2665,25314,2295,110964,4619,78561,3506,101059,5955,28427,2633,41.5,1.1,87.8,0.8,456211,5672,84795,3643,995,668,67409,5979,49325,3647,55,110,689404,8485,31024,6362,705564,8022,16160,3325,540596,9960,152462,7316,553102,9397,705564,8022,241721,3242,177865,3714,63856,3114,705564,8022
Illinois,17,11,65938,3479,237839,5535,259052,5849,21213,3592,51392,4413,56667,3418,43660,3279,103895,5965,110373,5968,97355,5530,59896,5002,40654,3680,33408,3856,69032,4321,722745,12366,56413,4508,520488,10239,31674,3845,370271,7794,352474,7977,722745,12366,32970,3859,34217,3906,95937,7409,60824,5435,111876,6797,30502,3427,34.5,1.6,86,1.1,454717,9584,88391,5804,1342,856,49962,6554,78001,7288,146,188,699087,13803,89166,10177,722745,12366,23658,5635,480470,17640,192556,10670,530189,13592,722745,12366,237839,5535,175378,5575,62461,4906,722745,12366
Illinois,17,12,42181,1561,275440,4241,317986,2198,42546,3714,44554,2489,49605,1757,55057,1961,90305,2763,87988,1935,103634,1716,46208,2392,45836,2087,43580,2153,102630,1902,713289,2838,43892,1658,546199,3258,66400,3237,364215,2964,349074,2728,713289,2838,37485,3270,45761,3104,62268,3959,36578,2637,152935,5180,17417,1573,20.9,1.1,88.4,0.8,473973,3232,121529,4952,1293,512,7663,1222,122067,2720,27,53,697658,3638,3464,1320,713289,2838,15631,2708,563144,3075,21495,1264,691794,2969,713289,2838,275440,4241,192229,4245,83211,4026,713289,2838
Illinois,17,13,44915,1794,282675,4797,317038,4062,34363,3544,41808,2519,57678,2303,81220,2990,90831,3925,80505,3101,94300,2931,38697,2508,46019,2470,40472,2350,98453,2726,712716,8033,42733,2281,563830,5544,53558,2820,362120,5488,350596,4709,712716,8033,33499,2832,33922,2531,75374,4344,50572,3409,142800,4940,12472,1641,28,1.1,89.8,0.7,450580,5549,101941,4554,899,484,24841,1378,80483,3896,143,162,699326,7988,3700,1104,712716,8033,13390,2223,589260,8411,22162,2649,690554,7689,712716,8033,282675,4797,182346,4363,100329,4432,712716,8033
Illinois,17,14,77758,3460,246322,5763,264498,6008,18176,3329,57649,4635,51063,3484,34956,3413,77200,4401,116017,5445,118963,5644,59705,4616,43416,3718,36475,3657,75069,4303,718232,9644,47719,4559,517263,9514,37940,3416,357800,6436,360432,7121,718232,9644,19518,2815,39892,4180,111601,7483,62565,5024,109669,5688,16219,3111,37.3,1.7,92.3,0.9,467140,8638,107676,5424,1449,1302,27388,4895,20863,6041,215,234,704471,10186,38640,10640,718232,9644,13761,3274,615916,13310,87962,9118,630270,12818,718232,9644,246322,5763,207016,6088,39306,3362,718232,9644
Illinois,17,15,45122,1102,277351,4411,314424,3459,37073,3272,43222,2545,46708,2212,48078,2550,83113,2893,87266,2311,106195,2552,47211,2757,49807,2377,43965,2317,116806,2315,715066,5872,42695,1898,552832,4275,60291,2598,358737,3837,356329,3709,715066,5872,36052,2745,55313,2953,56772,3243,28502,2264,173115,5059,22095,2178,17.5,0.8,88.1,0.8,487152,4229,115303,4310,1495,922,3779,953,33027,4543,0,189,703721,6055,3489,1206,715066,5872,11345,1998,661931,6847,17413,2230,697653,5697,715066,5872,277351,4411,212409,4060,64942,2997,715066,5872
Illinois,17,16,52101,1163,268488,4227,298892,2884,30404,3260,48575,2786,53637,2919,46558,2489,83829,2884,90156,2546,105289,2485,46844,2344,49087,2441,43943,2514,104770,1829,713840,6799,41152,2015,546070,5341,52226,3078,359602,4693,354238,4334,713840,6799,34187,2769,37843,2669,61440,2916,33235,3127,176831,5319,17218,2020,19.8,0.9,89.2,0.7,477074,4810,116320,4591,813,462,8784,1691,30275,3150,145,174,703899,6827,12750,3733,713840,6799,9941,1982,651132,7517,61829,3915,652011,6367,713840,6799,268488,4227,200514,4104,67974,3193,713840,6799
Illinois,17,17,41194,909,283514,4425,321421,2934,37907,3897,46831,2662,47469,2106,47221,2117,86638,3380,84104,2619,100507,2510,45188,2895,48235,2653,44543,2217,114354,2085,711719,7886,46629,2245,544786,5323,54499,2559,361914,4824,349805,4853,711719,7886,45355,2621,40627,2808,53135,3190,26585,2185,178264,5041,20776,1874,16.7,0.8,86.2,0.7,478381,4404,113639,3737,2568,973,7357,1583,81723,4386,110,137,696726,7491,15266,2991,711719,7886,14993,2243,589702,7085,56907,3422,654812,7645,711719,7886,283514,4425,194650,3780,88864,4348,711719,7886
Illinois,17,18,54571,1678,279306,4385,306574,3865,27268,2571,46547,2527,47910,1957,41143,2331,86030,3089,90472,2403,102862,3040,44548,2481,50679,2593,44619,2140,112686,2196,707238,7723,39742,1648,546820,5746,55937,2257,358119,4962,349119,4871,707238,7723,25229,2014,41294,2827,96286,4313,49231,3461,152731,5765,9524,1161,29.9,1,92.9,0.5,487348,5238,113053,4732,1617,605,17189,1728,27460,3276,0,189,697083,7524,4153,1245,707238,7723,10155,1748,646664,7094,16495,2285,690743,7626,707238,7723,279306,4385,211593,3750,67713,3087,707238,7723
Indiana,18,01,50669,1228,264966,3195,301363,1278,36397,3162,49564,2709,51379,1032,44479,1134,93681,1543,92318,1493,105770,1431,50181,2405,51209,2711,42345,2599,95711,1298,722224,2557,45587,889,544848,1742,50076,3266,367879,1617,354345,2042,722224,2557,37665,3311,38529,3082,67827,3660,34156,2945,169968,5271,21414,2524,21.2,1,87.7,0.9,481034,2140,111475,4387,2533,1091,7364,1145,143218,2397,177,216,704785,3950,43376,4675,722224,2557,17439,2892,508117,4495,101770,1327,620454,2517,722224,2557,264966,3195,186876,3386,78090,3896,722224,2557
Indiana,18,02,44494,1475,267937,3506,304661,1777,36724,3402,50607,2680,51921,1786,47115,1421,86378,1924,90789,1533,99038,2173,51400,2529,48934,2164,43351,2530,98197,1542,717237,3557,49507,1285,535063,2697,46102,2958,364502,2747,352735,2641,717237,3557,46448,3916,31296,2767,58332,3071,35641,2737,174346,5630,24450,2418,20.1,0.9,84.8,0.9,466687,2953,96174,4702,1973,561,7540,809,51213,2010,28,71,701671,4361,26282,4172,717237,3557,15566,2358,614635,5328,60160,1640,657077,3403,717237,3557,267937,3506,194439,3835,73498,2909,717237,3557
